vfx_id,name_pt,technique,shader_or_sprite,duration_s,particles_max,blend_mode,budget,priority,trigger_event,phase,status,_src,_notes
fx_rot_blot,Mancha da Podridão,shader + sprite animado,dissolve (bordo) sobre textura de ruído em fx_rot_blot.aseprite,crepúsculo→amanhecer,40,mix,1 draw + 40 partículas,P1,rot_spawned · rot_moved,1,TODO,§05 §24 §51 §60,O GIF de marketing do jogo (§03). Largura = RotState.width; o stem de tensão sobe com rot_moved (§23).
fx_rot_trail,Rasto da Podridão,LUT sobre o terreno,palette_lut com a rampa apodrecida nos tiles da faixa,até ao amanhecer,0,mix,0 draws extra (é o shader do terreno),P1,rot_trail_left,1,TODO,§05 §51 §60,Plantações destruídas mudam de frame; o resto só muda de cor.
fx_rot_summon,Criatura a nascer,sprite + partículas,tag spawn da criatura + fx_rot_burst,0.4,12,mix,12 partículas por invocação,P1,rot_summoned,1,TODO,§51,A criatura nasce dentro da mancha: o burst esconde o corte.
fx_dissolve,Dissolução,shader,dissolve (progress 0→1),0.6,0,mix,1 uniform por unidade,P1,rot_retreated · unit_died,1,TODO,§51 §60,Criaturas vivas dissolvem-se ao amanhecer; unidades mortas deixam o corpo.
fx_dither_reveal,Revelação de cavidade,shader,dither_reveal (progress + matrix),1.2,0,mix,1 draw por cavidade,P2,cavity_revealed,3,TODO,§11 §25 §60,O momento em que o jogo deixa de ser Kingdom (§25 minuto 10:00).
fx_hit_flash,Impacto,shader + tween + partícula,flash branco 80 ms no palette_lut + knockback 3 px + partícula de 4 px na direção do golpe,0.08,1,add,1 partícula por golpe,P1,unit_damaged,1,TODO,§07 §24,Nada de números de dano nem barras (§07 regra 1).
fx_arrow,Flecha,sprite,fx_arrow.aseprite (8×2 px) em arco,conforme alcance,0,mix,≤ 60 simultâneas,P1,attack_launched,1,TODO,§07 §24,Nasce no socket_weapon do frame de ação (ANIMATION_BIBLE). Acerto já decidido pela simulação.
fx_coin,Moeda largada,tween + sprite + som,arco parabólico + bounce + sombra + pitch variável ±8%,0.5,0,mix,≤ 40 moedas no ar,P0,coin_dropped · coin_collected,1,TODO,§24 §23,A animação mais importante do jogo — acontece milhares de vezes por partida.
fx_coin_stack,Pilha de moedas,sprite,frames por contagem; saco acima de 99,estático,0,mix,1 draw por pilha,P1,coin_dropped,1,TODO,§49,
fx_heal,Cura,overlay + partículas,overlay_heal (4 frames) + folhas/brilho,1.0,8,add,8 partículas,P2,capacity_granted · unit_revived,2,TODO,§08 §09 §16,Cozinheiro · companheiro · ressurreição.
fx_buff_cook,Buff do cozinheiro,overlay,overlay_buff_cook (loop 4 frames),20.0,0,add,1 draw por unidade com buff,P2,capacity_granted,2,TODO,§09 §22,20 s; permanente no nível 2.
fx_mark,Marca do arqueiro,shader,outline_dilate no alvo (width 1 · cor âmbar),até o alvo morrer,0,mix,1 uniform,P2,target_marked,2,TODO,§07 §08 §60,É contorno e não overlay (ASSET_BIBLE §2).
fx_charm,Encantamento,LUT + partículas,palette_lut (rampa encantada) + notas musicais,duração do encanto,6,add,6 partículas,P3,loyalty_changed,6,TODO,§08 §60,O mesmo shader faz povo · hora · estado · encantamento.
fx_build,Construção,partículas + frames,pó a cada golpe de martelo + frames scaffold/building,enquanto houver construtor,6,mix,6 partículas por obra,P1,build_started · build_progressed · build_completed,1,TODO,§55,
fx_destroy,Destruição,partículas + frame,destroços de 2–4 px + frame ruin,0.8,20,mix,20 partículas,P1,building_destroyed · wall_breached,1,TODO,§55,
fx_screen_shake,Tremor de ecrã,câmara,deslocamento inteiro da câmara ≤ 4 px,0.3,0,—,0,P1,wall_breached,1,TODO,§24 §26 §55,Só muralha a cair e aríete a acertar. Desligável nas opções.
fx_dust,Poeira,partículas,clusters de 2×2 px,0.4,6,mix,≤ 120 no ecrã,P2,passos · dig · aterrar,1,TODO,§22,Cluster 2×2: a lei da escala dupla vale para partículas de cenário.
fx_water,Água,shader,water_ripple (amp · speed),contínuo,0,mix,1 draw por superfície de água,P2,—,2,TODO,§22 §60,Lago do castelo · portos · pesqueiros.
fx_fire,Fogo,sprite animado + luz,fx_fire.aseprite (6 frames) + PointLight2D sem sombra,contínuo,4,add,≤ 8 fogos com luz,P2,build_completed (forja · forno) · barril,2,TODO,§22 degrau 5,Forja · forno · barril · muralhas da Fornalha.
fx_warm_light,Luz quente pontual,luz,PointLight2D; sombras só nas 3 mais próximas da câmara,contínuo,0,add,≤ 3 luzes com sombra,P1,build_completed,1,TODO,§19 §22 degrau 5,Justifica a rampa de âmbar da paleta (5 cores).
fx_contact_shadow,Sombra de contacto,sprite,shadow_<largura>.png multiplicativo 45–55%,estático,0,mul,1 draw por objeto no chão (MultiMesh se > 200),P0,unit_spawned · build_completed,0,TODO,§22 degrau 1,O maior salto isolado do dossiê: 1 hora.
fx_canvas_modulate,Luz por plano,CanvasModulate,um por plano de imagem animado pelo GameClock,contínuo,0,mul,5 nós,P0,phase_changed,1,TODO,§22 degrau 2 §59,O corte de solo fica escuro; só as cavidades descobertas recebem luz.
fx_time_lut,Gradação por hora,shader,palette_lut (rampa por hora do dia),contínuo,0,mix,1 LUT global,P1,phase_changed,1,TODO,§22 degrau 3 §60,Amanhecer · meio-dia · crepúsculo · noite sem repintar nada.
fx_haze,Névoa entre camadas,quads aditivos,2–3 bandas horizontais 6–14% de opacidade com deriva lenta,contínuo,0,add,3 draws,P1,—,1,TODO,§22 degrau 4 §59,Produz a rampa de saturação e valor medida na §11.
fx_dawn_sweep,Varrimento do amanhecer,shader/tween,faixa de luz da esquerda para a direita a 900 px/s,1.5,0,add,1 draw,P1,dawn_broke,1,TODO,§24,Com o sino (§23) e as tropas a sair em cascata.
fx_god_rays,Raios de amanhecer,quads aditivos,inclinados · opacidade ≤ 10% · deriva lenta,nascer→pôr do sol,0,add,≤ 4 draws,P2,phase_changed,2,TODO,§22 degrau 6 §59,A assinatura do Eastward.
fx_outline_dilate,Contorno de cenário a 2 px,shader,outline_dilate (width · color),contínuo,0,mix,1 material partilhado,P1,—,1,TODO,§01 §22 degrau 7 §60,Engrossa a silhueta de cenário de 1 para 2 px sem redesenhar.
fx_fake_fog,Névoa volumétrica falsa,shader,fake_fog (density · tint),contínuo,0,add,1 draw por cavidade,P3,cavity_revealed · dusk_fell,3,TODO,§22 §60,
fx_blind_vignette,Vinheta de cegueira,shader,blind_vignette (closure até 0.40),enquanto sem montaria,0,mul,1 draw em ecrã,P3,unit_state_changed,6,TODO,§08 §24 §60,Som abafado e câmara sem antecipação.
fx_conquest,Conquista,sprite + UI,ícone entalhado em 6 frames na roda do rei + estandarte,1.2,0,mix,1 draw,P2,fortress_conquered,2,TODO,§13 §24,
fx_consecrated,Terreno consagrado,LUT + partículas,brilho suave no terreno + partículas lentas,contínuo,10,add,10 partículas por altar,P3,build_completed (altar),6,TODO,§10,
fx_lighthouse_beam,Luz do farol,luz + quad,PointLight2D de raio 300 px + feixe aditivo,contínuo,0,add,1 luz,P3,build_completed (farol),6,TODO,§10,A Podridão não invoca dentro da luz.
fx_royal_seed,Semente Real,sprite + partículas,brilho dourado ao apanhar,0.8,8,add,8 partículas,P2,seed_royal_gained,3,TODO,§06 §17,
fx_normal_palette_light,Luz presa à paleta,shader,normal_palette_light (palette · ramp · palette_size · normal_mod),contínuo,0,mix,só objetos-herói,P3,—,5,TODO,§22 degrau 8 §60,Nunca para 300 unidades. Spike de 2 h na Fase 0 (§65).
fx_lantern,A candeia da Podridão,luz + shader,"três paragens no shader de luz: núcleo #F6D89B, meio #E8A94E, bordo #AE4F16, dither de 2 px",crepúsculo→amanhecer,0,add,1 luz; domina o ecrã — as fogueiras têm de ser mais fracas à mesma distância,P1,rot_spawned · debt_changed,2,TODO,§74 §75 §80,"Raio = lantern_radius_base + por_dia × dia, teto no rot.tres. O brilho é o mostrador da Dívida: halo aos 3, ambiente âmbar aos 9, segunda chama aos 12. Nunca um número."
fx_amargueiro_root,O corpo cria raiz,sprite + dissolve,tag root do tronco por escala + máscara de casca sobre o slot face do morto,"2,0",8,mix,1 draw por árvore; a cara é o ficheiro que já existe,P1,dawn · amargueiro_rooted,2,TODO,§74 §80,"Na alvorada, fora das muralhas. Três troncos, um por escala; a variedade é automática porque a cara é a da tropa que morreu ali."
fx_amargueiro_fell,A serra entra,sprite + partículas,12 s de corte com o lenhador da serração; lascas em partículas,"12,0",16,mix,16 partículas,P2,amargueiro_felled,2,TODO,§74,A cara mostra-se antes de a serra entrar — é o que cobra o preço. Só depois de uma noite de pé (D-03).
fx_offer_plate,O prato de oferenda,sprite,"alguidar de barro do tamanho de um slot de construção, à borda da mancha","20,0",0,mix,1 draw,P1,offer_opened · offer_expired,3,TODO,§75,"É um alvo, não um menu. Passados 20 s afunda-se no chão e o que lá estava volta ao chão."
fx_offer_line,A frase da Podridão,texto no mundo,"tipografia entalhada da §24, junto à mancha; nunca uma caixa","20,0",0,mix,1 label,P1,offer_opened,3,TODO,§24 §75,Nunca mais de oito palavras. A música baixa e a candeia sobe meio segundo antes.
fx_tender,O Zelador,sprite,figura que anda atrás da mancha e olha para o núcleo,a noite toda,0,mix,1 unidade,P2,debt_changed,3,TODO,§75,"Aparece com a Dívida ≥ 6. Não ataca e não morre: afasta-se. Se chegar ao núcleo, leva um nomeado."
fx_title_ribbon,A fita do nome,sprite no slot overlay,"uma fita por tipo de feito, com a cor do titles.csv",permanente,0,mix,0 draws extra — usa o slot overlay do §58,P2,title_granted,4,TODO,§58 §76,"Zero sprites novos de corpo. Nove cores, uma por feito."
fx_people_banner,O estandarte do povo solto,sprite,"um mastro por povo sobre o núcleo, na mesma ordem; o povo ficado deixa o mastro vazio",permanente,0,mix,6 draws no máximo,P1,people_released · people_kept,5,TODO,§78 §82,É a redundância visual do coro (§81): sem ela o mostrador de moral não existe para um jogador surdo.
