asset,kind,source,author,license,commercial_use,attribution,modified,proof,used_in,status,notes
Godot Engine 4.6,motor,https://godotengine.org,Godot Engine contributors (Juan Linietsky · Ariel Manzur e contribuidores),MIT,sim,sim — texto da licença nos créditos e no NOTICE.md,não,https://godotengine.org/license,jogo exportado,em uso,O executável inclui bibliotecas de terceiros (FreeType · ENet · mbed TLS e outras) cujos avisos também têm de acompanhar o jogo — ver https://docs.godotengine.org/en/stable/about/complying_with_licenses.html
gdUnit4 6.2.1,ferramenta de teste,https://github.com/godot-gdunit-labs/gdUnit4,Mike Schulze,MIT,sim,não é distribuído (excluído do export),não (removida a pasta test/),addons/gdUnit4/LICENSE,só desenvolvimento e CI,em uso,Vendorizado em addons/gdUnit4 (§68). O export_presets.cfg exclui addons/gdUnit4/*.
gdtoolkit 4.x (gdformat · gdlint),ferramenta de CI,https://github.com/Scony/godot-gdscript-toolkit,Pawel Lampe,MIT,sim,não é distribuído,não,LICENSE do repositório,só CI,em uso,Instalado pelo CI com pipx (§69).
GodotSteam,GDExtension,https://godotsteam.com,GodotSteam contributors,MIT (a confirmar na versão escolhida),sim,sim — NOTICE.md,—,por arquivar,jogo exportado (Steam),planeado (Fase 4–5),Precisa de ADR antes de entrar (regra 8 do AGENTS.md). Conquistas · cloud saves · sockets (§19).
Godot Aseprite Wizard,plugin de editor,https://github.com/viniciusgerevini/godot-aseprite-wizard,Vinicius Gerevini,MIT (a confirmar na versão escolhida),sim,não é distribuído,—,por arquivar,só editor,planeado (Fase 0–1),ADR 0010. Importa .aseprite para SpriteFrames (§22).
LimboAI,GDExtension,https://github.com/limbonaut/limboai,limbonaut e contribuidores,MIT (a confirmar na versão escolhida),sim,sim — NOTICE.md,—,por arquivar,chefes e Podridão,planeado (Fase 6),Só para chefes e criaturas da Podridão — nunca para tropas comuns (§20 §52).
Fonte de pixel para texto (12 px),fonte,a escolher,—,a escolher (preferir SIL OFL 1.1),—,—,—,—,todo o texto,por decidir (Fase 0),Decisão da Fase 0: ≥ 12 px de altura de carácter (§26 §38).
Fonte de pixel CJK,fonte,a escolher (ex.: família Fusion Pixel),—,SIL OFL 1.1 (a confirmar),—,—,—,—,zh · ja · ko,por decidir (antes da localização),STYLE_GUIDE §7.
Música (6 biomas × 4 stems),áudio,compositor ou biblioteca,—,contrato de encomenda ou licença de biblioteca,tem de ser sim,conforme o contrato,—,contrato assinado,jogo · trailer,por decidir (§23 §35),Guardar o contrato ou a licença como prova antes de o ficheiro entrar em audio/.
Efeitos sonoros (~80),áudio,biblioteca ou gravação própria,—,licença de biblioteca,tem de ser sim,conforme a licença,—,recibo + termos,jogo,por decidir,
Aseprite,ferramenta de arte,https://www.aseprite.org,Igara Studio,licença comercial (EULA),—,não é distribuído,—,—,produção de arte,em uso,Ferramenta; não entra no jogo.
Capturas de Milki Delivery · Eastward · Chef RPG,referência,capturas da loja Steam,estúdios respetivos,todos os direitos reservados,não,—,—,—,só medição (§01),referência — nunca distribuída,Usadas para medir densidade e grelha (§01). Nunca entram no repositório público · no jogo · nem em marketing.
Arte do Empire (personagens · cenários),arte original,art/source/,Henrique Passos,todos os direitos reservados,—,—,—,—,jogo · marketing,em uso,Ver LICENSE e LEGAL.md.
