keys,pt_PT,en,_context,_max_chars,_notes
UNIT_VAGRANT,Vagabundo,Vagrant,nome de conteúdo — unit,24,
UNIT_ARCHER,Arqueiro,Archer,nome de conteúdo — unit,24,
UNIT_SPEARMAN,Lanceiro,Spearman,nome de conteúdo — unit,24,
UNIT_DRAGONFLY,Libélula,Dragonfly,nome de conteúdo — unit,24,
UNIT_ROOT_BERSERKER,Berserker de Raiz,Root Berserker,nome de conteúdo — unit,24,
UNIT_MERCENARY,Mercenário,Mercenary,nome de conteúdo — unit,24,
UNIT_MONARCH,Monarca,Monarch,nome de conteúdo — unit,24,
UNIT_SQUIRE,Escudeiro,Squire,nome de conteúdo — unit,24,
UNIT_BUILDER,Construtor,Builder,nome de conteúdo — unit,24,
UNIT_SMITH,Ferreiro,Smith,nome de conteúdo — unit,24,
UNIT_COOK,Cozinheiro,Cook,nome de conteúdo — unit,24,
UNIT_DIPLOMAT,Diplomata,Diplomat,nome de conteúdo — unit,24,
UNIT_BARD,Bardo,Bard,nome de conteúdo — unit,24,
UNIT_CLIMBER,Trepador,Climber,nome de conteúdo — unit,24,
UNIT_BURIED_KNIGHT,Cavaleiro Enterrado,Buried Knight,nome de conteúdo — unit,24,
UNIT_SEALED_KNIGHT,Cavaleiro Selado,Sealed Knight,nome de conteúdo — unit,24,
UNIT_CANOPY_ARCHER,Arqueiro de Copa,Canopy Archer,nome de conteúdo — unit,24,
UNIT_BARGE,Barcaça,Barge,nome de conteúdo — unit,24,
UNIT_COUNTERWEIGHT_RAM,Aríete de Contrapeso,Counterweight Ram,nome de conteúdo — unit,24,
UNIT_SOWER,Semeador,Sower,nome de conteúdo — unit,24,
UNIT_WAR_SMITH,Ferreiro de Guerra,War Smith,nome de conteúdo — unit,24,
UNIT_DIGGER,Escavador,Digger,nome de conteúdo — unit,24,
CREATURE_CRAWLER,Rastejante,Crawler,nome de conteúdo — creature,24,
CREATURE_WINGED,Alado,Winged,nome de conteúdo — creature,24,
CREATURE_BRUTE,Bruto,Brute,nome de conteúdo — creature,24,
CREATURE_BURROWER,Cavador,Burrower,nome de conteúdo — creature,24,
CREATURE_SLIME_RAM,Aríete de Lodo,Slime Ram,nome de conteúdo — creature,24,
CREATURE_DEVOURER,Consumidora,Devourer,nome de conteúdo — creature,24,
BUILDING_CORE,Castelo,Keep,nome de conteúdo — building,24,
BUILDING_TRAINING_HOUSE,Casa de Treino,Training House,nome de conteúdo — building,24,
BUILDING_FORGE,Forja,Forge,nome de conteúdo — building,24,
BUILDING_KITCHEN,Cozinha,Kitchen,nome de conteúdo — building,24,
BUILDING_EMBASSY,Embaixada,Embassy,nome de conteúdo — building,24,
BUILDING_HEIR_HOUSE,Casa do Herdeiro,Heir's House,nome de conteúdo — building,24,
BUILDING_ROOT_SANCTUARY,Santuário das Raízes,Root Sanctuary,nome de conteúdo — building,24,
BUILDING_MOUNT_STABLE,Estábulo,Stable,nome de conteúdo — building,24,
BUILDING_FARM,Plantação,Field,nome de conteúdo — building,24,
BUILDING_FISHERY,Pesqueiro,Fishery,nome de conteúdo — building,24,
