segment_id,people,biome,kind,width_px,difficulty,entry_rules,exit_rules,build_slots,cave_slots,passages,resource_slots,subject,landmark,spawn_table,parallax_set,lighting_profile,music_profile,greybox_status,paint_status,playtested,phase,notes
enramados_start_base_01,enramados,ancient_forest,start_base,640,0,center,—,2,1,1,water,castle_tree,colossal_tree,n/a (§51),herdado: closed,herdado: closed,herdado: music_ancient_forest,todo,todo,,1,O castelo-árvore sobre o lago; o marco da região mora aqui.
enramados_opening_00,enramados,ancient_forest,opening,640,0,center|first_run_only,—,2,1,1,water,castle_tree_ruin,colossal_tree,n/a (§51),herdado: closed,herdado: closed,stinger: abertura,todo,todo,,1,Cena fixa (§25): castelo em ruínas · Casa de Treino reparável por 10 · passagem do minuto 10:00.
enramados_empty_01,enramados,ancient_forest,empty,640,1,—,—,3,0,0,—,well,—,n/a (§51),herdado: closed,herdado: closed,herdado,todo,todo,,1,
enramados_empty_02,enramados,ancient_forest,empty,640,1,—,—,3,0,0,—,broken_cart,—,n/a (§51),herdado: closed,herdado: closed,herdado,todo,todo,,1,
enramados_empty_03,enramados,ancient_forest,empty,640,1,—,—,3,1,0,—,standing_stone,—,n/a (§51),herdado: closed,herdado: closed,herdado,todo,todo,,1,
enramados_forest_01,enramados,ancient_forest,forest,640,1,—,—,2,1,0,forest,fallen_giant,—,n/a (§51),herdado: closed,herdado: closed,herdado,todo,todo,,1,Corte de madeira e caça; o javali vive aqui.
enramados_ruin_01,enramados,ancient_forest,ruin,640,2,—,—,1,1,1,—,collapsed_arch,—,n/a (§51),herdado: closed,interior da cavidade: fechado,herdado,todo,todo,,1,Traz sempre uma passagem (§21).
enramados_fortress_01,enramados,ancient_forest,fortress,640,3,not_adjacent=fortress|at_region_end,—,0,1,0,—,enemy_keep,—,n/a (§51),herdado: closed,herdado: closed,stinger: fortaleza,todo,todo,,1,A fortaleza da fatia vertical (§33).
enramados_edge_01,enramados,ancient_forest,edge,640,1,at_region_end,—,0,0,0,—,cliff,—,n/a (§51),herdado: closed,herdado: closed,herdado,todo,todo,,1,O bordo: a região acaba numa falésia.
portuarios_start_base_01,portuarios,coast,start_base,640,0,center,—,2,1,1,water,harbor_keep,lighthouse,n/a (§51),herdado: open,herdado: open,herdado: music_coast,todo,todo,,7,Kit planeado. Fonte: Carrasqueira + naust (§22).
portuarios_empty_01,portuarios,coast,empty,640,1,—,—,3,0,0,—,net_racks,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
portuarios_empty_02,portuarios,coast,empty,640,1,—,—,3,0,0,—,boat_on_trestles,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
portuarios_water_01,portuarios,coast,water,640,1,requires_prev=empty,—,2,0,0,water,pier,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,'agua exige um vazio antes' (§21).
portuarios_ruin_01,portuarios,coast,ruin,640,2,—,—,1,1,1,—,sunken_hull,—,n/a (§51),herdado: open,interior da cavidade: fechado,herdado,todo,todo,,7,
portuarios_fortress_01,portuarios,coast,fortress,640,3,not_adjacent=fortress|at_region_end,—,0,1,0,—,sea_fort,—,n/a (§51),herdado: open,herdado: open,stinger: fortaleza,todo,todo,,7,
portuarios_edge_01,portuarios,coast,edge,640,1,at_region_end,—,0,0,0,—,open_sea,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
fenda_start_base_01,fenda,canyon,start_base,640,0,center,—,2,1,1,rock,carved_keep,carved_gate,n/a (§51),herdado: open,herdado: open,herdado: music_canyon,todo,todo,,7,Kit planeado. Fonte: Petra + Bandiagara + xisto da Lousã (§22).
fenda_empty_01,fenda,canyon,empty,640,1,—,—,3,0,0,—,rope_bridge,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
fenda_empty_02,fenda,canyon,empty,640,1,—,—,3,0,0,—,carved_steps,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
fenda_rock_01,fenda,canyon,rock,640,1,—,—,2,1,0,rock,ore_seam,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
fenda_ruin_01,fenda,canyon,ruin,640,2,—,—,1,1,1,—,fallen_facade,—,n/a (§51),herdado: open,interior da cavidade: fechado,herdado,todo,todo,,7,
fenda_fortress_01,fenda,canyon,fortress,640,3,not_adjacent=fortress|at_region_end,—,0,1,0,—,single_gate_keep,—,n/a (§51),herdado: open,herdado: open,stinger: fortaleza,todo,todo,,7,'Estrangulamento: uma só entrada' (§04).
fenda_edge_01,fenda,canyon,edge,640,1,at_region_end,—,0,0,0,—,canyon_wall,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
horta_start_base_01,horta,floodplain,start_base,640,0,center,—,2,1,1,water,great_barn,silo,n/a (§51),herdado: open,herdado: open,herdado: music_floodplain,todo,todo,,7,Kit planeado. Fonte: Lezíria do Tejo + celeiros ingleses (§22).
horta_empty_01,horta,floodplain,empty,640,1,—,—,3,0,0,—,scarecrow,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
horta_empty_02,horta,floodplain,empty,640,1,—,—,3,0,0,—,greenhouse,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
horta_empty_03,horta,floodplain,empty,640,1,—,—,3,0,0,—,irrigation_wheel,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,O dobro de canteiros pede mais vazios (§04).
horta_ruin_01,horta,floodplain,ruin,640,2,—,—,1,1,1,—,flooded_cellar,—,n/a (§51),herdado: open,interior da cavidade: fechado,herdado,todo,todo,,7,
horta_fortress_01,horta,floodplain,fortress,640,3,not_adjacent=fortress|at_region_end,—,0,1,0,—,fortified_granary,—,n/a (§51),herdado: open,herdado: open,stinger: fortaleza,todo,todo,,7,Proposta: a fortaleza do pântano da libélula (Q-013).
horta_edge_01,horta,floodplain,edge,640,1,at_region_end,—,0,0,0,—,river,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
fornalha_start_base_01,fornalha,volcanic,start_base,640,0,center,—,2,1,1,rock,foundry_keep,chimney,n/a (§51),herdado: open,herdado: open,herdado: music_volcanic,todo,todo,,7,Kit planeado. Fonte: ferrerías bascas + basalto islandês (§22).
fornalha_empty_01,fornalha,volcanic,empty,640,1,—,—,3,0,0,—,slag_heap,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
fornalha_empty_02,fornalha,volcanic,empty,640,1,—,—,3,0,0,—,cooling_trough,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
fornalha_rock_01,fornalha,volcanic,rock,640,1,—,—,2,1,0,rock,lava_vent,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
fornalha_ruin_01,fornalha,volcanic,ruin,640,2,—,—,1,1,1,—,cold_furnace,—,n/a (§51),herdado: open,interior da cavidade: fechado,herdado,todo,todo,,7,
fornalha_fortress_01,fornalha,volcanic,fortress,640,3,not_adjacent=fortress|at_region_end,—,0,1,0,—,burning_wall_keep,—,n/a (§51),herdado: open,herdado: open,stinger: fortaleza,todo,todo,,7,'Fogo permanente nas muralhas' (§04).
fornalha_edge_01,fornalha,volcanic,edge,640,1,at_region_end,—,0,0,0,—,lava_field,—,n/a (§51),herdado: open,herdado: open,herdado,todo,todo,,7,
sobraiz_start_base_01,sobraiz,subterranean,start_base,640,0,center,—,2,2,1,—,great_shaft,shaft,n/a (§51),herdado: closed,herdado: closed,herdado: music_subterranean,todo,todo,,7,Kit planeado. Fonte: Derinkuyu + Coober Pedy (§22). O povo lê-se pelo corte.
sobraiz_empty_01,sobraiz,subterranean,empty,640,1,—,—,3,1,0,—,mushroom_farm,—,n/a (§51),herdado: closed,herdado: closed,herdado,todo,todo,,7,
sobraiz_empty_02,sobraiz,subterranean,empty,640,1,—,—,3,1,0,—,niche_wall,—,n/a (§51),herdado: closed,herdado: closed,herdado,todo,todo,,7,
sobraiz_labyrinth_01,sobraiz,subterranean,ruin,640,2,—,—,1,2,1,—,labyrinth,—,n/a (§51),herdado: closed,interior da cavidade: fechado,herdado,todo,todo,,7,'Não tem muralhas — tem labirinto' (§04).
