id,display_key,people,category,cost,material,yield_per_day,requires_biome_feature,destroyed_by_rot_trail,job_slots,craft,max_health,contact_slots,build_work,width_px,upgrade_to,unique_per_kingdom,effect_params,shadow_width,tags,_phase,_src,_proposed,_notes
core,BUILDING_CORE,neutral,core,0,,,,false,0,,1000,7,0,480,,true,,480,core|not_buildable,1,"§10 o núcleo — castelo-árvore; se cair, cai a partida; §07 faixa de contacto",max_health|width_px|shadow_width|contact_slots,"Não é construído nem destruído (§10): 1000 de vida mede quanto aguenta a partida, não um edifício. contact_slots 7 é o topo da escada do §10 — o Bastião —, a outra obra única por império: o núcleo é a maior do mapa (480 px) e a última. Sem a coluna nada o podia atacar (Q-075). Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)"
training_house,BUILDING_TRAINING_HOUSE,neutral,training,10,,,,false,1,builder,80,,20,120,,true,,120,priority_target,1,§10 Casa de Treino; §25 'reparável por 10 moedas',max_health|build_work|width_px|shadow_width|job_slots,"O custo 10 é o da reparação no minuto 8:30 (§25); assume-se igual para construção nova. Alvo prioritário dos reis inimigos a partir do dia 15 (§10, EconomyCurve). Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)"
forge,BUILDING_FORGE,neutral,craft,12,,,,false,1,smith,96,,24,120,,false,,120,warm_light,2,§09 Ferreiro: 15 + Forja; §22 os sete edifícios do ciclo de 10 dias,cost|max_health|build_work|width_px|shadow_width|job_slots,Forja (oficina do ferreiro) ≠ Fundição (casa de conversão do minério) — ver Q-008. Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
kitchen,BUILDING_KITCHEN,neutral,craft,10,,,,false,1,cook,80,,20,120,,false,,120,warm_light,2,§09 Cozinheiro: 10 + Cozinha; §22 sete edifícios,cost|max_health|build_work|width_px|shadow_width|job_slots,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
embassy,BUILDING_EMBASSY,neutral,craft,20,,,,false,1,diplomat,160,,40,120,,true,,120,,6,§09 Diplomata: 20 + Embaixada,cost|max_health|build_work|width_px|shadow_width|job_slots,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
heir_house,BUILDING_HEIR_HOUSE,neutral,special,20,,,,false,0,,160,,40,120,,true,,120,,6,§15 Casa do Herdeiro: 10 dias a 5 moedas/dia,cost|max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
root_sanctuary,BUILDING_ROOT_SANCTUARY,neutral,special,25,,,,false,0,,200,,50,120,,true,,120,,6,§16 Santuário das Raízes: ressurreição até ao amanhecer,cost|max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
mount_stable,BUILDING_MOUNT_STABLE,neutral,special,20,,,,false,0,,160,,40,160,,false,,160,heals_mounts,6,"§12 'Cavalo de tração — Estábulo, 30 moedas'",cost|max_health|build_work|width_px|shadow_width,Separado do estábulo de vaca (§06) até decisão — Q-009. As 30 moedas são o preço do cavalo (mounts.csv). Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
farm,BUILDING_FARM,neutral,production,4,grain,2,,true,1,,32,,8,96,,false,,96,field,1,§06 circuito 1: plantação (canteiro),max_health|build_work|width_px|shadow_width|job_slots,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
fishery,BUILDING_FISHERY,neutral,production,6,fish,3,water,false,1,,48,,12,120,,false,,120,immune_to_rot_trail,1,§06 circuito 1: pesqueiro,max_health|build_work|width_px|shadow_width|job_slots,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
