id,display_key,people,max_health,damage,attack_interval,accuracy_open,range_px,targets_bands,recruit_cost,upkeep_per_day,drops_on_death,band,move_speed,scale_tier,can_change_band,layer_slots,shadow_width,tags,job_affinity,coin_capacity,trained_at,train_days,ability,ability_params,weapon_kind,head_pool,_phase,_src,_proposed,_notes
vagrant,UNIT_VAGRANT,neutral,10,0,,,,,1,0,coins|corpse,SURFACE,80,2,false,body|head|face|overlay,18,worker,farm:1.0|milking:1.0|cart:0.8,2,,,,,,bare|hat_straw|hair_black|beard_red,1,§07 tabela mestra; §21 a lei da travessia (ADR 0021); §25 minuto 0:20,tags|job_affinity|coin_capacity|head_pool,"Sem ataque: intervalo, precisão e alcance ficam no valor por omissão e não são lidos. coin_capacity 2 herda a escala do Kingdom (camponês 2, §02)."
archer,UNIT_ARCHER,neutral,14,4,1.4,0.34,200,SURFACE|AERIAL,3,0,weapon|coins|corpse,SURFACE,80,2,false,body|head|face|weapon|overlay,18,ranged|hunter,hunt:1.0|wall:1.0|tower:1.0|farm:0.3,11,,,,,bow,hood|cap|bare,1,"§07 tabela mestra; §19/§44 accuracy_open 0,34; §34 F1-07",tags|job_affinity|coin_capacity|head_pool,"Faixa aérea só ao alcance em altura (torre alta, §10) — ver Q-006. coin_capacity 11 = arqueiro do Kingdom (§02)."
spearman,UNIT_SPEARMAN,neutral,26,6,1.1,1.0,28,SURFACE,4,0,weapon|coins|corpse,SURFACE,80,2,false,body|head|face|weapon|shield|overlay,18,melee|holds_line|no_pursuit,wall:1.0|guard:0.8,5,,,,,spear,helmet_round|cap,1,"§07 tabela mestra e TTK (acerto 1,0 implícito: 2 golpes × 1,1 s = 2,2 s)",tags|job_affinity|coin_capacity|head_pool|layer_slots,'Segura a linha. Não persegue.' vira as tags holds_line e no_pursuit.
dragonfly,UNIT_DRAGONFLY,neutral,16,5,1.2,1.0,40,AERIAL|SURFACE,9,0,coins|corpse,AERIAL,152,2,false,body|face|overlay,0,flyer,air_patrol:1.0,0,,,,,,,2,§07 tabela mestra; §11 faixa aérea,accuracy_open|targets_bands|move_speed|shadow_width|tags|job_affinity|coin_capacity,"move_speed 152 = 80 × 1,9 (a libélula-montaria da §12). Sem sombra de contacto: não toca o chão (§22)."
root_berserker,UNIT_ROOT_BERSERKER,neutral,40,12,0.9,1.0,30,SURFACE,12,0,weapon|coins|corpse,SURFACE,80,3,false,body|head|face|weapon|overlay,22,melee|always_advance|no_retreat|elite,wall:1.0,5,,,,,club,bare|root_crown,2,"§07 tabela mestra e TTK (acerto 1,0 implícito)",scale_tier|shadow_width|tags|job_affinity|coin_capacity|head_pool,"'Avança sempre. Não recua nem com o muro caído.' → always_advance, no_retreat. Escala 3 por ser elite (§01)."
mercenary,UNIT_MERCENARY,neutral,34,11,1.0,1.0,30,SURFACE,18,0,weapon|coins|corpse,SURFACE,80,2,false,body|head|face|weapon|overlay,18,melee|mercenary,wall:1.0|guard:1.0,5,,,,,sword,helmet_horned|scarf,6,§07 tabela mestra; §14 dívida D = 40 + 18 × n,recruit_cost|tags|job_affinity|coin_capacity|head_pool,O §07 diz custo 'variável'. 18 = custo marginal da dívida por mercenário (§14); +25% na tarde vem da EconomyCurve.
monarch,UNIT_MONARCH,neutral,60,3,1.2,1.0,30,SURFACE,0,,coins|corpse,SURFACE,80,3,true,body|head|face|weapon|overlay,22,king|tank,,33,,,,,sword,crown_crooked,1,"§08 Monarca: tanque, dano fraco; §01 escala 3; §12 cavalo carrega o dobro",max_health|damage|attack_interval|range_px|coin_capacity|tags,"coin_capacity 33: menor valor que paga o Muro de pedra (20), não paga a Muralha de ferro (36) sem cavalo, e com o cavalo (66) paga o Bastião (65) — a lógica da §02 e da §12."
squire,UNIT_SQUIRE,neutral,8,0,,,,,0,,coins|corpse,SURFACE,80,1,true,body|head|face|overlay,14,follows_king|collects_coins,,5,,,,,,helmet_big,1,§08 Monarca: o escudeiro acompanha e apanha moedas; §01 escala 1 ≈ 34 px,max_health|shadow_width|tags|coin_capacity,coin_capacity 5 = escudeiro do Kingdom (§02). Na Fase 2 da classe cresce e torna-se tropa de combate (ClassData monarch).
builder,UNIT_BUILDER,neutral,12,0,,,,,12,0,coins|corpse,SURFACE,80,2,true,body|head|face|weapon|overlay,18,craft|builder,build:1.0|repair:1.0,2,training_house,1,builder_wall_bonus,wall_defense:0.08|armory_slots:1,hammer,hat_builder,1,§09 treino 12 + Casa de Treino; §10 'custa moeda e um dia'; §11 quem passa entre faixas,max_health|tags|job_affinity|coin_capacity|head_pool,"Os parâmetros da habilidade são os do nível 1 do §09 (+8% defesa das muralhas, +1 slot de armas). can_change_band: ofícios enviados passam entre faixas (§11)."
smith,UNIT_SMITH,neutral,12,0,,,,,15,0,coins|corpse,SURFACE,80,2,true,body|head|face|weapon|overlay,18,craft|smith,forge:1.0,2,forge,1,smith_weapon_bonus,weapon_levels:1,hammer,mustache_bald,2,§09 treino 15 + Forja; §06 Fundição → Ferreiro,max_health|tags|job_affinity|coin_capacity|head_pool,weapon_levels 1 vem da capacidade da Fundição (§06). Nível 2 recolhe armas largadas (§09). O bigode é dele (§04).
cook,UNIT_COOK,neutral,12,0,,,,,10,0,coins|corpse,SURFACE,80,2,true,body|head|face|weapon|overlay,18,craft|cook,kitchen:1.0,2,kitchen,1,combat_dish,duration:20,,hat_chef,2,§09 treino 10 + Cozinha,max_health|tags|job_affinity|coin_capacity|head_pool,"Prato de combate: buff forte de 20 s, permanente no nível 2 (§09). Os valores de vida/velocidade estão em crafts.csv."
diplomat,UNIT_DIPLOMAT,neutral,12,0,,,,,20,0,coins|corpse,SURFACE,80,2,true,body|head|face|weapon|overlay,18,craft|diplomat|non_combatant,embassy:1.0,2,embassy,1,,,,hat_feather,6,§09 treino 20 + Embaixada; §08,max_health|tags|job_affinity|coin_capacity|head_pool,Não combate (§08). Resultados e probabilidades na EconomyCurve (§14).
