screen_id,name_pt,type,entry_from,exits_to,default_focus,controller,keyboard,mouse,steam_deck,text_keys,audio,animation,ultrawide,phase,status,notes
boot,Arranque,cena,executável,first_run · title,—,—,—,—,—,—,—,—,área 16:9,0,IN_GAME,Placeholder do dia zero em scenes/boot.tscn; a versão da §70 carrega Registry · idioma · save. Jogável em ≤ 4 s (§63).
first_run_language,Idioma (1.º arranque),menu,boot,first_run_consent,idioma do sistema,D-pad · A,setas · Enter,clique,igual ao comando,UI_LANGUAGE,sfx_ui_move · sfx_ui_confirm,entrada ≤ 150 ms,área 16:9,4,TODO,Só na primeira vez.
first_run_consent,Telemetria (1.º arranque),diálogo,first_run_language,title,UI_NO,A · B,Enter · Esc,clique,igual ao comando,UI_TELEMETRY_PROMPT · UI_YES · UI_NO,sfx_ui_confirm,—,área 16:9,5,TODO,Desligada por omissão · sem dados pessoais · RGPD (§32).
title,Título,menu,boot · pause · defeat · credits,continue · new_game · options · credits · sair,UI_CONTINUE se houver save; senão UI_NEW_GAME,D-pad · A · B,setas · Enter · Esc,clique,igual ao comando,UI_CONTINUE · UI_NEW_GAME · UI_OPTIONS · UI_CREDITS · UI_QUIT,music_title,cena-cartaz com luz de crepúsculo,cena alarga até 1600 px de mundo,4,TODO,Sem logótipo até haver nome.
continue,Continuar,ação,title,game,—,A,Enter,clique,A,—,sfx_ui_confirm,fade 300 ms,—,1,TODO,Carrega o espaço mais recente (três com rotação §62).
new_game,Novo jogo,fluxo,title,people_select · seed_select,—,—,—,—,—,UI_NEW_GAME,—,—,—,1,TODO,Na fatia vertical salta a escolha de povo.
people_select,Escolher povo,menu,new_game,seed_select,último povo jogado,stick/D-pad esquerda-direita · A · B,setas · Enter · Esc,clique,igual ao comando,UI_CHOOSE_PEOPLE · PEOPLE_*,sfx_ui_move,silhueta dos telhados (§22),área 16:9,7,TODO,Aparece quando houver dois povos.
seed_select,Semente do mundo,menu,people_select · new_game,game,UI_SEED_RANDOM,stick cima/baixo muda dígito · A,dígitos · Enter,clique + teclado,teclado Steamworks,UI_WORLD_SEED · UI_SEED_RANDOM,sfx_ui_move,—,área 16:9,1,TODO,A semente é visível e copiável depois na pausa (§42).
game,Jogo,mundo,continue · seed_select · pause · journal · succession,pause · king_wheel · journal · succession · interregnum · defeat · epilogue,—,dois verbos (§24),A D · Espaço · E · Tab · Esc,botão direito = marcar alvo,igual ao comando,DAY_N (só depuração),stems do bioma (§23),ver ANIMATION_BIBLE,mundo visível ≤ 1600 px (§19),1,TODO,O único HUD permanente é o relógio da dívida (§24).
king_wheel,Roda do rei,menu diegético,game (Y/Tab com o monarca),game,segmento apontado,manter Y · stick · largar,manter Tab · 1–6,clique no segmento,igual ao comando,— (só ícones),sfx_wheel_open · sfx_ui_move,vitral a abrir 150 ms,área 16:9,2,TODO,Construir · recrutar · ofícios · impulso · expedição · sucessão (§24). Não pausa (§05) — Q-034.
debt_clock,Relógio da dívida,HUD,debt_incurred,debt pago ou debt_defaulted,—,—,—,—,—,— (ícone de 6 dias),sfx_debt_tick,um entalhe por dia,canto superior direito da área 16:9,6,TODO,O único elemento de HUD permanente (§24).
