asset_id,category,people,name,source_file,export_path,width,height,useful_bbox,pivot_x,pivot_y,slots,animations,frames,fps,palette,priority,phase,status,implemented,reviewed,notes
enramados_squire_body,personagem,enramados,Corpo-base squire (escala 1),art/source/enramados/enramados_squire.aseprite,art/export/enramados/enramados_squire_body.png,64,64,≈22×34,32,56,body,idle|walk|attack|die|hit|work|build,40,10,empire_working,P0,1,TODO,no,no,O escudeiro do trono (§01).
enramados_squire_face,personagem,enramados,Rostos squire: normal · hurt · hit · fear (+ angry · charmed · rotten · sleep),art/source/enramados/enramados_squire.aseprite,art/export/enramados/enramados_squire_face_<estado>.png,64,64,≈10×10,32,56,face,idle|walk|attack|die|hit|work|build,40,10,empire_working,P1,1,TODO,no,no,"EXPRESSION_GUIDE §2. Fatia vertical: normal, hurt, hit, fear."
enramados_squire_head_helmet_big,personagem,enramados,Cabeça helmet_big,art/source/enramados/enramados_squire.aseprite,art/export/enramados/enramados_squire_head_helmet_big.png,64,64,,32,56,head,idle|walk|attack|die|hit|work|build,40,10,empire_working,P1,1,TODO,no,no,head_pool de units.csv (proposta).
enramados_villager_body,personagem,enramados,Corpo-base villager (escala 2),art/source/enramados/enramados_villager.aseprite,art/export/enramados/enramados_villager_body.png,96,96,24×47,48,88,body,idle|walk|attack|die|hit|work|build,40,10,empire_working,P0,1,ANIMATION,no,no,"Parte do 'Empire troop' (idle de 6 frames já feito — §01, §22). Faltam walk, attack, die."
enramados_villager_face,personagem,enramados,Rostos villager: normal · hurt · hit · fear (+ angry · charmed · rotten · sleep),art/source/enramados/enramados_villager.aseprite,art/export/enramados/enramados_villager_face_<estado>.png,96,96,≈10×10,48,88,face,idle|walk|attack|die|hit|work|build,40,10,empire_working,P1,1,TODO,no,no,"EXPRESSION_GUIDE §2. Fatia vertical: normal, hurt, hit, fear."
enramados_villager_head_bare,personagem,enramados,Cabeça bare,art/source/enramados/enramados_villager.aseprite,art/export/enramados/enramados_villager_head_bare.png,96,96,,48,88,head,idle|walk|attack|die|hit|work|build,40,10,empire_working,P1,1,TODO,no,no,head_pool de units.csv (proposta).
enramados_villager_head_hat_straw,personagem,enramados,Cabeça hat_straw,art/source/enramados/enramados_villager.aseprite,art/export/enramados/enramados_villager_head_hat_straw.png,96,96,,48,88,head,idle|walk|attack|die|hit|work|build,40,10,empire_working,P1,1,TODO,no,no,head_pool de units.csv (proposta).
enramados_villager_head_hair_black,personagem,enramados,Cabeça hair_black,art/source/enramados/enramados_villager.aseprite,art/export/enramados/enramados_villager_head_hair_black.png,96,96,,48,88,head,idle|walk|attack|die|hit|work|build,40,10,empire_working,P1,1,TODO,no,no,head_pool de units.csv (proposta).
enramados_villager_head_beard_red,personagem,enramados,Cabeça beard_red,art/source/enramados/enramados_villager.aseprite,art/export/enramados/enramados_villager_head_beard_red.png,96,96,,48,88,head,idle|walk|attack|die|hit|work|build,40,10,empire_working,P1,1,TODO,no,no,head_pool de units.csv (proposta).
enramados_villager_head_hood,personagem,enramados,Cabeça hood,art/source/enramados/enramados_villager.aseprite,art/export/enramados/enramados_villager_head_hood.png,96,96,,48,88,head,idle|walk|attack|die|hit|work|build,40,10,empire_working,P1,1,TODO,no,no,head_pool de units.csv (proposta).
