id,display_key,law_key,inhabitant_key,song_key,biome,placement,detour_seconds,guaranteed,order,reward_kind,reward_id,law_enters_walls,visits_tracked,folk_root,_phase,_src,_proposed,_notes
crossroad_souls,CHAPTER_CROSSROAD_SOULS,CHAPTER_LAW_CROSSROAD_SOULS,CHAPTER_WHO_CROSSROAD_SOULS,,,bifurcation,25,false,1,ancient_seed,,false,false,alminhas e nichos de estrada,5,"§77 os dez Capítulos, uma lei cada",detour_seconds,Deixa uma moeda no nicho e as almas apontam por onde vem a Podridão; tira uma e as leituras de estrada mentem três dias. É o único sem canção: o silêncio é a lei a funcionar.
stopped_pilgrimage,CHAPTER_STOPPED_PILGRIMAGE,CHAPTER_LAW_STOPPED_PILGRIMAGE,CHAPTER_WHO_STOPPED_PILGRIMAGE,SONG_CHAPTER_STOPPED_PILGRIMAGE,floodplain,crossing,40,false,2,journal,journal_03,false,false,romaria e andor,5,"§77 os dez Capítulos, uma lei cada",detour_seconds,"Atravessar a pé custa o dobro; uma moeda no andor leva-te em 8 s, e as tropas andam ao passo dela um dia (−20%). O tema nunca cadencia."
house_that_counts,CHAPTER_HOUSE_THAT_COUNTS,CHAPTER_LAW_HOUSE_THAT_COUNTS,CHAPTER_WHO_HOUSE_THAT_COUNTS,SONG_CHAPTER_HOUSE_THAT_COUNTS,,roadside,25,false,3,journal,journal_04,false,true,encomendação das almas,5,"§77 os dez Capítulos, uma lei cada",detour_seconds,À terceira passagem fica com um nome teu; dá-lhe um à primeira e diz-te a massa exata todas as noites.
inverted_floodplain,CHAPTER_INVERTED_FLOODPLAIN,CHAPTER_LAW_INVERTED_FLOODPLAIN,CHAPTER_WHO_INVERTED_FLOODPLAIN,SONG_CHAPTER_INVERTED_FLOODPLAIN,floodplain,crossing,40,false,4,ancient_seed,,false,false,mouras encantadas,5,"§77 os dez Capítulos, uma lei cada",detour_seconds,As faixas trocam e a Podridão chega por cima: é o único sítio onde se vê a candeia de baixo. Vem da §17.
blind_furrow,CHAPTER_BLIND_FURROW,CHAPTER_LAW_BLIND_FURROW,CHAPTER_WHO_BLIND_FURROW,SONG_CHAPTER_BLIND_FURROW,canyon,crossing,40,false,5,journal,journal_06,false,false,vozes sem corpo,5,"§77 os dez Capítulos, uma lei cada",detour_seconds|folk_root,"Não há luz: só o Cavaleiro Selado se orienta. Qualquer luz revela 60 px e acrescenta +30 à massa desta noite. Vem da §17, com o custo que lhe faltava."
lit_oven,CHAPTER_LIT_OVEN,CHAPTER_LAW_LIT_OVEN,CHAPTER_WHO_LIT_OVEN,SONG_CHAPTER_LIT_OVEN,volcanic,roadside,25,false,6,ancient_seed,,true,false,ferrarias sempre acesas,5,"§77 os dez Capítulos, uma lei cada",detour_seconds,"Cura por completo e sai com uma brasa: arde seis dias e ao sétimo cria raiz onde estiver, muralhas incluídas. É a única lei que entra em casa, e é de propósito (D-10)."
bone_market,CHAPTER_BONE_MARKET,CHAPTER_LAW_BONE_MARKET,CHAPTER_WHO_BONE_MARKET,SONG_CHAPTER_BONE_MARKET,,near_mercenary_camp,25,false,7,journal,journal_08,false,true,pregão de feira,5,"§77 os dez Capítulos, uma lei cada",detour_seconds,"Mercenários a metade, dívida ao dobro (§14); não se sai da praça com dívida por pagar. Sete vendedores; quem esvaziar a praça encontra a cadeira do Dono."
spore_field,CHAPTER_SPORE_FIELD,CHAPTER_LAW_SPORE_FIELD,CHAPTER_WHO_SPORE_FIELD,SONG_CHAPTER_SPORE_FIELD,subterranean,crossing,40,false,8,ancient_seed,,false,false,cidades soterradas,5,"§77 os dez Capítulos, uma lei cada",detour_seconds,"As tropas ganham 20% de dano e perdem 15% de vida por dia. Os chapéus dos cogumelos são telhados: a cidade Sob-Raiz está por baixo, intacta (§79)."
bridge_of_returners,CHAPTER_BRIDGE_OF_RETURNERS,CHAPTER_LAW_BRIDGE_OF_RETURNERS,CHAPTER_WHO_BRIDGE_OF_RETURNERS,SONG_CHAPTER_BRIDGE_OF_RETURNERS,canyon,crossing,40,false,9,journal,journal_10,false,true,pontes de seis materiais,5,"§77 os dez Capítulos, uma lei cada",detour_seconds,Atravessar custa uma memória: uma região revelada volta a ficar escura. À sexta travessia dá-te um nome e muda o material de um segmento de muralha.
endless_siege,CHAPTER_ENDLESS_SIEGE,CHAPTER_LAW_ENDLESS_SIEGE,CHAPTER_WHO_ENDLESS_SIEGE,SONG_CHAPTER_ENDLESS_SIEGE,,fortress,40,true,10,journal,journal_12,false,false,cerco sem fim,5,"§77 os dez Capítulos, uma lei cada",detour_seconds|folk_root,"Entras e ficas numa noite que não acaba: partes a muralha, ou abres o portão por dentro. São os dois epílogos em miniatura, e é por isso que carrega sempre o diário 12 (D-11)."
