cue_id,event,file,priority,volume_db,pitch_variation,max_instances,distance_px,loop,bus,caption_key,phase,status,notes
mus_ancient_forest_base,phase_changed,audio/music/mus_ancient_forest_base.ogg,10,-16 LUFS,0,1,—,yes,Music,,2,TODO,Toca sempre; os outros três stems entram por cima (§23).
mus_ancient_forest_day,phase_changed,audio/music/mus_ancient_forest_day.ogg,10,-16 LUFS,0,1,—,yes,Music,,2,TODO,Sobe na manhã · meio-dia · tarde.
mus_ancient_forest_tension,rot_moved,audio/music/mus_ancient_forest_tension.ogg,10,-16 LUFS,0,1,—,yes,Music,,2,TODO,Volume proporcional à distância da mancha: ouve-se antes de se ver (§23).
mus_ancient_forest_night,night_started,audio/music/mus_ancient_forest_night.ogg,10,-16 LUFS,0,1,—,yes,Music,,2,TODO,
stg_dawn_bell,dawn_broke,audio/stingers/stg_dawn_bell.ogg,10,0,0,1,—,no,Stingers,CAPTION_DAWN_BELL,1,TODO,O sinal mais importante do jogo: inconfundível (§23).
stg_dusk_warning,dusk_fell,audio/stingers/stg_dusk_warning.ogg,10,0,0,1,—,no,Stingers,CAPTION_DUSK_WARNING,1,TODO,Reage-se sem olhar para o ecrã (§23).
stg_night,night_started,audio/stingers/stg_night.ogg,9,-2,0,1,—,no,Stingers,CAPTION_NIGHT,1,TODO,
sfx_rot_near,rot_moved,audio/sfx/sfx_rot_near.wav,9,-3,0,1,1600,no,SFX,CAPTION_ROT_NEAR,1,TODO,Uma vez quando a mancha entra na largura visível.
sfx_rot_summon,rot_summoned,audio/sfx/sfx_rot_summon.wav,5,-6,0.08,3,1600,no,SFX,,1,TODO,
sfx_rot_retreat,rot_retreated,audio/sfx/sfx_rot_retreat.wav,7,-4,0,1,—,no,SFX,,1,TODO,Com a dissolução ao amanhecer.
sfx_coin_drop,coin_dropped,audio/sfx/sfx_coin_drop.wav,6,-6,0.08,8,640,no,SFX,,1,TODO,Acontece milhares de vezes: 4 variantes (§24).
sfx_coin_collect,coin_collected,audio/sfx/sfx_coin_collect.wav,5,-8,0.08,6,640,no,SFX,,1,TODO,
sfx_coin_spend,coin_spent,audio/sfx/sfx_coin_spend.wav,6,-6,0.08,4,640,no,SFX,,1,TODO,Moeda a entrar num slot de construção.
sfx_step_grass,frame de walk (1 e 5),audio/sfx/sfx_step_grass.wav,1,-18,0.08,6,640,no,SFX,,1,TODO,Sem isto o mundo é mudo; com isto e sem limite é metralhadora.
sfx_attack_bow,attack_launched,audio/sfx/sfx_attack_bow.wav,4,-9,0.08,8,1280,no,SFX,,1,TODO,No frame de ação (ANIMATION_BIBLE).
sfx_arrow_hit,unit_damaged,audio/sfx/sfx_arrow_hit.wav,4,-9,0.08,8,1280,no,SFX,,1,TODO,
sfx_attack_spear,attack_launched,audio/sfx/sfx_attack_spear.wav,4,-9,0.08,6,1280,no,SFX,,1,TODO,
sfx_attack_sword,attack_launched,audio/sfx/sfx_attack_sword.wav,4,-9,0.08,6,1280,no,SFX,,2,TODO,
sfx_attack_club,attack_launched,audio/sfx/sfx_attack_club.wav,4,-9,0.08,4,1280,no,SFX,,2,TODO,
sfx_hit_flesh,unit_damaged,audio/sfx/sfx_hit_flesh.wav,4,-9,0.08,6,1280,no,SFX,,1,TODO,Com o flash de 80 ms.
sfx_death_unit,unit_died,audio/sfx/sfx_death_unit.wav,7,-6,0.05,3,1600,no,SFX,,1,TODO,A morte é permanente: tem de doer (§04).
sfx_death_creature,creature_died,audio/sfx/sfx_death_creature.wav,4,-9,0.08,4,1280,no,SFX,,1,TODO,
sfx_king_hit,unit_damaged (monarca),audio/sfx/sfx_king_hit.wav,9,-3,0,1,—,no,SFX,CAPTION_KING_HIT,1,TODO,O rei em campo pode morrer (§07).
sfx_build_hammer,build_progressed,audio/sfx/sfx_build_hammer.wav,3,-12,0.08,4,1280,no,SFX,,1,TODO,No frame de ação da tag build.
sfx_build_complete,build_completed,audio/sfx/sfx_build_complete.wav,6,-6,0,2,1600,no,SFX,,1,TODO,
sfx_building_damaged,building_damaged,audio/sfx/sfx_building_damaged.wav,5,-8,0.08,3,1600,no,SFX,,1,TODO,
sfx_building_destroyed,building_destroyed,audio/sfx/sfx_building_destroyed.wav,8,-4,0,2,1600,no,SFX,,1,TODO,
