id,act,order,title_key,body_key,where_kind,where_id,object_key,reveals_key,_phase,_src,_proposed,_notes
journal_01,1,1,JOURNAL_01_TITLE,JOURNAL_01_BODY,ruin,,JOURNAL_01_OBJECT,JOURNAL_01_REVEALS,6,"§79 os doze diários, com origem",,Ruína dentro das tuas muralhas. Uma lista de manutenção de nichos de estrada: seis aldeias pagavam para o mesmo fundo. É o diário do minuto 11:00 do §83.
journal_02,1,2,JOURNAL_02_TITLE,JOURNAL_02_BODY,fortress,portuarios,JOURNAL_02_OBJECT,JOURNAL_02_REVEALS,6,"§79 os doze diários, com origem",,"Um manifesto de porto com registo de casamentos: comércio, língua comum, famílias misturadas."
journal_03,1,3,JOURNAL_03_TITLE,JOURNAL_03_BODY,chapter,stopped_pilgrimage,JOURNAL_03_OBJECT,JOURNAL_03_REVEALS,6,"§79 os doze diários, com origem",,"A carta de fundação da procissão: instituída para levar uma coisa a uma capela uma vez, e nunca mais."
journal_04,2,1,JOURNAL_04_TITLE,JOURNAL_04_BODY,chapter,house_that_counts,JOURNAL_04_OBJECT,JOURNAL_04_REVEALS,6,"§79 os doze diários, com origem",,"A primeira página do livro da Contadeira: seis entregas para fora, nenhuma de volta."
journal_05,2,2,JOURNAL_05_TITLE,JOURNAL_05_BODY,fortress,horta,JOURNAL_05_OBJECT,JOURNAL_05_REVEALS,6,"§79 os doze diários, com origem",,"Uma requisição de material de muralha, 'do costume', em quantidade que dá exatamente uma árvore."
journal_06,2,3,JOURNAL_06_TITLE,JOURNAL_06_BODY,chapter,blind_furrow,JOURNAL_06_OBJECT,JOURNAL_06_REVEALS,6,"§79 os doze diários, com origem",,Uma carta de quem foi ver: os seis materiais cheiram todos ao mesmo.
journal_07,3,1,JOURNAL_07_TITLE,JOURNAL_07_BODY,fortress,fornalha,JOURNAL_07_OBJECT,JOURNAL_07_REVEALS,6,"§79 os doze diários, com origem",,Um bilhete pregado à porta do forno: aceso 'para a vigília'; ninguém o apagou porque a vigília não acabou.
journal_08,3,2,JOURNAL_08_TITLE,JOURNAL_08_BODY,chapter,bone_market,JOURNAL_08_OBJECT,JOURNAL_08_REVEALS,6,"§79 os doze diários, com origem",,"As contas do Dono da Praça: cinco pagavam ao sexto para fazer o trabalho sozinho, e depois deixaram de pagar."
journal_09,3,3,JOURNAL_09_TITLE,JOURNAL_09_BODY,fortress,sobraiz,JOURNAL_09_OBJECT,JOURNAL_09_REVEALS,6,"§79 os doze diários, com origem",,"Uma escala de turnos na cidade soterrada, datada do ano em que A Podridão começa, com a semana seguinte já preenchida. É o espécime da §79: setenta e uma palavras, nada explicado."
journal_10,4,1,JOURNAL_10_TITLE,JOURNAL_10_BODY,chapter,bridge_of_returners,JOURNAL_10_OBJECT,JOURNAL_10_REVEALS,6,"§79 os doze diários, com origem",,"O registo de travessias do guarda: desde o soterramento, ninguém veio do outro lado."
journal_11,4,2,JOURNAL_11_TITLE,JOURNAL_11_BODY,fortress,fenda,JOURNAL_11_OBJECT,JOURNAL_11_REVEALS,6,"§79 os doze diários, com origem",,A última ordem assinada pelo conselho comum: 'A luz mantém-se. Quem a mantiver é rendido à volta do ano.' Não há registo de rendição.
journal_12,4,3,JOURNAL_12_TITLE,JOURNAL_12_BODY,chapter,endless_siege,JOURNAL_12_OBJECT,JOURNAL_12_REVEALS,6,"§79 os doze diários, com origem",,"O diário de um rei: descreve o cerco tal como o encontraste, e a última entrada é de amanhã, na letra do teu rei."
