key,value,_group,_src,_proposed,_notes
income_growth,1.12,Curva e asfixia,"§06 curva; simulador da §06 (base = 3 + 2,6 × fontes)",,"produção cresce a 1,12^(d−1) sobre a base construída"
trade_growth,1.08,Curva e asfixia,"§06 curva; simulador da §06 (base = 3 + 2,6 × fontes)",,"comércio cresce a 1,08^(d−1) por rota"
night_cost_base,6.1,Curva e asfixia,"§06 curva; simulador da §06 (base = 3 + 2,6 × fontes)",,custo de sobreviver à noite no dia 1
night_cost_growth,1.22,Curva e asfixia,"§06 curva; simulador da §06 (base = 3 + 2,6 × fontes)",,"correção da v3: 1,22, não 1,16"
suffocation_target,9|14,Curva e asfixia,"§06 curva; simulador da §06 (base = 3 + 2,6 × fontes)",,alvo de design do dia de asfixia; o CI falha fora disto
curve_income_flat,3.0,Curva e asfixia,"§06 curva; simulador da §06 (base = 3 + 2,6 × fontes)",,parte fixa da base no simulador da §06
curve_income_per_source,2.6,Curva e asfixia,"§06 curva; simulador da §06 (base = 3 + 2,6 × fontes)",,"por fonte de produção, no simulador da §06"
upkeep_free_troops,8,Manutenção,"§06 sorvedouro 1; §29 prompt 3 (upkeep(14) = 3,0; upkeep(25) = 13,5)",,até 8 tropas não há manutenção
upkeep_tier1_limit,20,Manutenção,"§06 sorvedouro 1; §29 prompt 3 (upkeep(14) = 3,0; upkeep(25) = 13,5)",,de 9 a 20
upkeep_tier1_rate,0.5,Manutenção,"§06 sorvedouro 1; §29 prompt 3 (upkeep(14) = 3,0; upkeep(25) = 13,5)",,"por tropa e por dia, entre 9 e 20"
upkeep_tier2_rate,1.5,Manutenção,"§06 sorvedouro 1; §29 prompt 3 (upkeep(14) = 3,0; upkeep(25) = 13,5)",,"por tropa e por dia, acima de 20"
trade_route_income,4.5,"Comércio, caça e saque",§06 circuitos 1 e 3; §13; §25; §29 prompt 3; §49,,"o §06 diz 4–6/dia; 4,5 é o valor da fórmula do §29"
trade_network_bonus,0.1,"Comércio, caça e saque",§06 circuitos 1 e 3; §13; §25; §29 prompt 3; §49,,+10% a todas as rotas por cada rota a partir da segunda
trade_cart_cost,5,"Comércio, caça e saque",§06 circuitos 1 e 3; §13; §25; §29 prompt 3; §49,,a carroça que percorre a rota
hunt_yield,3|9,"Comércio, caça e saque",§06 circuitos 1 e 3; §13; §25; §29 prompt 3; §49,,caça: moeda direta por saída
loot_yield,40|160,"Comércio, caça e saque",§06 circuitos 1 e 3; §13; §25; §29 prompt 3; §49,,"saque de fortaleza, uma vez; fecha a rota"
start_coins,6,"Comércio, caça e saque",§06 circuitos 1 e 3; §13; §25; §29 prompt 3; §49,,§25: acordas com 6 moedas
coin_stack_max,99,"Comércio, caça e saque",§06 circuitos 1 e 3; §13; §25; §29 prompt 3; §49,,§49: acima disto funde num saco
favor_decay_per_day,0.1,Favor e diplomacia,§06 Favor; §14 diplomata; §56,,decai 10%/dia se não for usado
diplomat_p_dissolve,0.3,Favor e diplomacia,§06 Favor; §14 diplomata; §56,,dissolução → super-tropa
diplomat_p_contract,0.5,Favor e diplomacia,§06 Favor; §14 diplomata; §56,,contrato → mercenários e dívida
diplomat_p_capture,0.2,Favor e diplomacia,§06 Favor; §14 diplomata; §56,,captura → resgate com prazo
diplomat_favor_step,20,Favor e diplomacia,§06 Favor; §14 diplomata; §56,,cada 20 de Favor...
diplomat_favor_shift,0.05,Favor e diplomacia,§06 Favor; §14 diplomata; §56,,...move 5 pontos de Captura para Dissolução — ver Q-004 sobre o exemplo 45/45/10
assimilate_every_days,8,Favor e diplomacia,§06 Favor; §14 diplomata; §56,,diplomata n2
assimilate_favor,60,Favor e diplomacia,§06 Favor; §14 diplomata; §56,,diplomata n2
mercenary_afternoon_markup,0.25,Mercenários e dívida,§05 tarde; §14 dívida; §56,,preços sobem 25% na tarde
debt_base,40,Mercenários e dívida,§05 tarde; §14 dívida; §56,,D = 40 + 18 × n
debt_per_mercenary,18,Mercenários e dívida,§05 tarde; §14 dívida; §56,,D = 40 + 18 × n
debt_due_days,6,Mercenários e dívida,§05 tarde; §14 dívida; §56,,prazo
debt_late_multiplier,1.25,Mercenários e dívida,§05 tarde; §14 dívida; §56,,"cada dia em atraso: D × 1,25"
debt_partial_reset_days,3,Mercenários e dívida,§05 tarde; §14 dívida; §56,,pagamento parcial reinicia o prazo em 3 dias
debt_desert_until_late_day,3,Mercenários e dívida,§05 tarde; §14 dívida; §56,,atraso 1–3 dias: os mercenários desertam
debt_diplomat_dies_late_day,4,Mercenários e dívida,§05 tarde; §14 dívida; §56,,atraso 4: o diplomata morre
debt_camp_marches_late_day,5,Mercenários e dívida,§05 tarde; §14 dívida; §56,,atraso 5+: o acampamento marcha sobre ti
impulses_per_day,1,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,um impulso por dia
heir_training_days,10,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,Casa do Herdeiro
heir_training_days_diplomat,5,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,atalho do diplomata n2
heir_cost_per_day,5,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,custo diário do treino
heir_boost_inheritance,0.6,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,herda 60% dos boosts e 100% dos desbloqueios
